PriorityRank,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,SourceSection
119,HIGHLY LIKELY,80,KILNER PRESERVE JAR 0.25LTR SCREW LID,Kilner Preserve Jar 0.25L (250ml) Round Glass Screw Top Lid Preservation Storage Jar for Jams Jellies Chutneys,5010853173566,-,B007MO0FIO,GBP 1.44,GBP 7.12,GBP 0.40,23.05,50,1:1 Match,GBP 0.40,RowID=2599; EAN evidence in Appendix; EAN missing/invalid/untrusted on one side; Supplier brand token='kilner'; Brand appears in Amazon title; Unique anchor='preserve',-,HIGHLY LIKELY - RECOMMENDED (count=65)
120,HIGHLY LIKELY,80,SISTEMA TO GO BREAKFAST BOX,"Sistema Klip It Colour Accents Breakfast To Go Container, Assorted Colours, One Only Supplied",9414202213556,-,B005HNXFJS,GBP 3.88,GBP 8.99,GBP 0.18,4.71,100,1:1 Match,GBP 0.18,RowID=2967; EAN evidence in Appendix; EAN missing/invalid/untrusted on one side; Supplier brand token='sistema'; Brand appears in Amazon title; Unique anchor='breakfast',-,HIGHLY LIKELY - RECOMMENDED (count=65)
121,HIGHLY LIKELY,70,DOVE STICK 40ML ORIGINAL WOMEN PK6,Dove Original Antiperspirant Deodorant Stick 40ml Bundle â€” Grooming Essentials and Hygiene Body Care for Men and Women â€” Pack of 6,5000228975901,-,B00LNC810U,GBP 13.43,GBP 21.80,GBP 0.16,1.3%,100,1:1 (6x1 vs 6x1),GBP 0.16,Anchor=40ml; Shared tokens=5,Confirm brand/pack/variant (1–2 details),HIGHLY LIKELY - RECOMMENDED (count=65)
122,NEEDS VERIFICATION,70,CHRISTMAS DIFFUSERS GINGERBREAD 30ML SET OF 3,"SALUBRITO Christmas Essential Oils Set, Winter Holiday Fragrance Oil Gift Set for Diffuser, Candle, Soap Making, Candy Cane, Christmas Tree, Christmas Pudding, Apple Cinnamon, Gingerbread, Mistletoe",5024418634232,-,B0D97LYYDY,GBP 3.96,GBP 9.99,GBP 0.82,21.2%,900,Split candidate (0.33),GBP 3.46,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
123,NEEDS VERIFICATION,70,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",5060357990077,5060357990107,B0DJDH23JW,GBP 2.28,GBP 12.97,GBP 3.28,133.8%,700,1:1 (1x10 vs 10x1),GBP 3.28,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
124,HIGHLY LIKELY,70,WHITE GLO TOOTHPASTE PROFESSIONAL CHOICE 100ML PK6,White Glo Extra Strength Whitening Toothpaste Professional Choice (100ml) - Pack of 6,29319871000619,-,B0122ZMXYQ,GBP 10.74,GBP 18.99,GBP 0.33,3.5%,50,1:1 (6x1 vs 6x1),GBP 0.33,Anchor=100ml; Shared tokens=6,Confirm brand/pack/variant (1–2 details),HIGHLY LIKELY - RECOMMENDED (count=65)
125,NEEDS VERIFICATION,70,MENS WATERPROOF FLEECE TRAPPER HAT WITH MASK BLACK,HEAT HOLDERS - Mens Waterproof Fleece Lined Winter Thermal Trooper Trapper Hat with Ear Flaps,5060605732022,5019041167141,B07F8VJHWF,GBP 6.07,GBP 21.98,GBP 6.45,114.9%,100,1:1 Match,GBP 6.45,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
126,NEEDS VERIFICATION,70,CHEF AID KNIFE SHARPENER SOFTGRIP HANDLE,Navaris Diamond Knife Sharpener Steel - Japanese Chefs Knife Sharpener with Ergonomic Handle - Honing Rod for Chef's Knives Carving Knives and More - Diamond Sharpening Rod,5012904112029,-,B06Y1L9G65,GBP 2.54,GBP 13.39,GBP 4.40,165.0%,400,1:1 Match,GBP 4.40,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
127,NEEDS VERIFICATION,70,APOLLO STAINLESS STEEL BREAD KNIFE,"Wooden Bread Bow Knife, Serrated Bread Bow Cutter, Stainless Steel Sourdough Bread Knife, Professional Bread Knife Cutter with Wooden Handle for Homemade Bread Sourdough Bagel Cake Fruit",5026180053938,6953087007568,B0D83Z7HYQ,GBP 1.88,GBP 14.59,GBP 4.75,224.0%,200,1:1 Match,GBP 4.75,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
128,NEEDS VERIFICATION,70,KETTLE FLOWER GLASS 1800ML,Teabloom Stovetop & Microwave Safe Glass Teapot with Removable Tea Infuser for Loose Tea - Includes 2 Blooming Teas - 1.2 L Tea Kettle and Tea Maker,6985412547883,810019871610,B0B15K9Y5F,GBP 5.84,GBP 23.69,GBP 5.90,108.9%,200,1:1 Match,GBP 5.90,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
129,NEEDS VERIFICATION,70,GROSVENOR 55CM TROUGH BLACK,4 Black Gros Trough 55cm,5014348297157,-,B0723GK5V9,GBP 3.35,GBP 16.49,GBP 5.93,177.6%,50,1:1 Match,GBP 5.93,Anchor=55cm,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
130,NEEDS VERIFICATION,70,CHRISTMAS GIFT BAG X LARGE 3PC FUN CHARACTER,"LECONCES Large Christmas Drawstring Gift Bags, 30 PCS Xmas X-Large,Large,Medium and Small Wrapping Bags, 8 Design Xmas Bags for Christmas Party, Presents, Holiday",5015934919279,-,B0CDQH4DHQ,GBP 0.88,GBP 14.99,GBP 6.93,541.2%,700,Pack mismatch 1->10.00 (need 10 units),GBP -0.96,-,"Verify unit-count/pack on Amazon listing; If pack assumption holds, becomes AUDITED OUT (AdjProfit<=0)",NEEDS VERIFICATION (count=429)
131,HIGHLY LIKELY,90,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,5056287402902,-,B0815B7FBY,GBP 2.22,GBP 6.98,GBP 0.13,5.6%,50,1:1 Match,GBP 0.13,Brand match (HARRIS); product-type match (putty knife),-,HIGHLY LIKELY - RECOMMENDED (count=65)
132,NEEDS VERIFICATION,70,VASE GLASS CYLINDER 20X10X10CM,"YOUEON Wide Glass Cylinder Vase (20x10cm), Decorative Terrarium for Flowers, Pillar Candles & Arrangements, Wedding, Event & Home Centerpiece",5055141626904,-,B09MTP248R,GBP 4.78,GBP 19.99,GBP 5.68,125.3%,200,1:1 (20x10 vs 20x10),GBP 5.68,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
133,NEEDS VERIFICATION,70,BLOCK TECH ASTRONAUGHT,"abeec Block Tech 20 Figures Set - Police, Firefighters, Superheroes, Astronauts & More / Compatible Toy Minifigures for Kidsâ€™ Building Block Playsets",5015934804544,-,B0F677FLKK,GBP 3.29,GBP 14.99,GBP 4.92,149.5%,300,1:1 Match,GBP 4.92,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
134,HIGHLY LIKELY - AUDITED OUT,90,ROUNDUP PATH WEEDKILLER RTU 1LTR 20% FREE,"Roundup Path Weedkiller, Ready to Use, Refill for Pressure Sprayer, 5 Litre",5017676016919,5017676016964,B01MYBH3SU,GBP 6.02,GBP 21.12,GBP 3.52,63.2%,50,Variant mismatch (1L vs 5L),-,Brand match (ROUNDUP),Different size (1L vs 5L) => different SKU,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
135,HIGHLY LIKELY,85,FAIRY MAX POWER SOAP DISPENSING DISH BRUSH,Fairy Soap Dispensing Dish Brush,5010303194387,5010303180588,B0BYKDX25N,GBP 1.73,GBP 6.57,GBP 0.06,2.8%,50,1:1 Match,GBP 0.06,-,bundle/contents ambiguity.,HIGHLY LIKELY - RECOMMENDED (count=65)
136,HIGHLY LIKELY,90,ROLSON CHALK LINE AND LAYOUT SET 3PCE,Rolson 52537 3 pc Chalk Line Set,5029594525374,-,B000QFCQ6U,GBP 2.68,GBP 7.36,GBP 0.02,0.8%,50,1:1 Match (3pc vs 3pc),GBP 0.02,Brand match (ROLSON); unique anchor 52537; 3pc set,-,HIGHLY LIKELY - RECOMMENDED (count=65)
137,HIGHLY LIKELY,85,ROYAL MARKET PLASTIC PINT 50 GLASSES,CHEF ROYALE 50 Disposable Clear Plastic Glasses - Recyclable - CE Marked - Full Pint (660ml) for Large Events and Parties (Pack of 50),5010326063745,-,B0CGKRQGM4,GBP 2.82,GBP 7.99,GBP 0.01,0.3%,50,1:1 (1x50 vs 50x1),GBP 0.01,-,-,HIGHLY LIKELY - RECOMMENDED (count=65)
138,NEEDS VERIFICATION,70,LAGHMANIS OUD 100ML FOR HER GOLD EACH,Oud 24 Hours Majestic Gold Edition Edp Perfume for Men and Women 100ml By Ard Al Zaafaran Best perfume gift,5055170283031,5060919410012,B097QC3CH6,GBP 1.61,GBP 14.20,GBP 4.74,250.2%,100,1:1 Match,GBP 4.74,Anchor=100ml,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
139,NEEDS VERIFICATION,70,ASHLEY SUCTION SOAP DISH,"TAILI Suction Soap Dish for Shower, Max Hold 3 KG Shower Soap Holder for Bathroom, Wall Mounted Sponge Tray, Drill-Free, Removable Bathtub Organizer, Waterproof, Plastic Sink Holder Suction Cup, White",5017403119524,-,B07J5GHTY6,GBP 1.01,GBP 9.99,GBP 3.28,235.7%,400,1:1 Match,GBP 3.28,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
140,NEEDS VERIFICATION,70,SUPERIOR FOIL 5 CONTAINERS & LID 2400ML,"Superior Foil Containers with Lids - 9x13 Inches Sturdy Deep Foil Trays with Lid, Ideal for Cooking, Baking,Roasting, BBQ, Meal Prep Storage Tray - Large Foil Trays with Lids (5 Pack)",5060357992170,-,B07GZGXQYG,GBP 3.02,GBP 14.79,GBP 5.00,162.7%,200,1:1 (1x5 vs 5x1),GBP 5.00,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
141,NEEDS VERIFICATION,70,SUPERIOR FOIL 10 CONTAINERS & LID 1 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",5060357990060,5060357990107,B0DJDH23JW,GBP 2.62,GBP 12.97,GBP 3.00,109.8%,700,1:1 (1x10 vs 10x1),GBP 3.00,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
142,NEEDS VERIFICATION,85,SILVER METALLIC MAILERS PK3 230X340MM SIZE F,"Bubble Mailers 100 Pack, Metallic Foil Bubble Mailer Waterproof Self Seal Shipping Gold Silver Black or Pink, Padded Envelopes for Mailing Packaging (Silver, 140x175mm)",5061024360247,5061007790856,B0CKLXPPMX,GBP 1.77,GBP 14.72,GBP 4.90,241.9%,50,1:1 (3x1 vs 100x1),GBP 4.90,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
143,NEEDS VERIFICATION,70,DINOSAUR PLASTIC DRINKING BOTTLE 500ML ASSORTED,"Ion8 Water Bottle, 500ml/18oz, Slim Leak Proof & BPA-Free Drinking Bottle, Secure Lock Prevents Spills, Dishwasher Safe, Carry Handle, Ideal for Adults & Kids - Travel, Gym & School, Blue, Dinosaur",5050565421586,619098088793,B0BS6VWFK5,GBP 1.60,GBP 14.00,GBP 4.59,244.1%,100,1:1 Match,GBP 4.59,Anchor=500ml; Shared tokens=4,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
144,NEEDS VERIFICATION,70,CHRISTMAS WOODEN TREE SHAPES 12PK,GEEDIAR Wooden Christmas Tree 3D DIY Creative Miniature Ornaments Festival Party Xmas Tree Table Desk Decoration Xmas/Christmas Best Gift -30cm (Green),5056170340786,650728196198,B07XR9RQHG,GBP 0.88,GBP 10.99,GBP 4.07,317.8%,50,1:1 Match,GBP 4.07,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
145,NEEDS VERIFICATION,70,SOFT FOOTBALL IN CDU 10CM 3 ASSORTED,"SoftWhiz Colorful Safe Indoor Football Size 4 for kids / Felt-Cover Soft Football for Inside Your Home and Yard - Fun Gift with Pump, Needle & Mesh Bag",5012866061687,5060947842878,B0FTSFB34M,GBP 1.34,GBP 12.34,GBP 4.06,243.3%,200,1:1 Match,GBP 4.06,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
146,NEEDS VERIFICATION,70,PPS PLASTIC DRINK SHOT 30 GLASSES 30ML,100 Plastic Shot Glasses - Multi Use Crystal Clear Hard Plastic Sampling Cups - 30ml - 1 oz,5030481960178,5060659230123,B07T68VD2Y,GBP 0.74,GBP 9.79,GBP 2.84,242.6%,300,Split candidate (0.03),GBP 3.56,Anchor=30ml; Shared tokens=4,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
147,NEEDS VERIFICATION,70,WORLD OF PETS DOG COLLAR CLASSIC SMALL,"Dog Harness Mesh Breathable Comfortable Pet Vest No Pull Adjustable Soft Padded Dog Power Strap (S, Red)",5015302203962,6902210335238,B075D4XNFV,GBP 0.80,GBP 10.99,GBP 3.29,269.5%,300,1:1 Match,GBP 3.29,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
148,HIGHLY LIKELY - AUDITED OUT,90,TIDYZ WHEELY BIN LINERS 5 BAGS 300L,Tidyz 30 Extra Large Wheelie Bin Liners Waste Rubbish Bags 300L,5025364005824,5025762919174,B07MGLHMWY,GBP 0.74,GBP 9.98,GBP 2.77,236.5%,500,Pack mismatch: supplier 5 bags vs Amazon 30 bags (RSU=6),GBP -0.93,Brand match (TIDYZ); size anchor 300L,RSU=6 makes Adjusted Profit <= 0,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
149,NEEDS VERIFICATION,70,FIRST STEPS WIND UP BATH TOY,"Bath Toys for Kids, Baby Wind Up Bath Toys, Swimming Water Floating Turtle Penguin Clockwork Bathtub Pool Toy Game for Kids Boys Girls Toddlers Baby Bath Time",5015302106324,-,B08ZHNDFDD,GBP 1.14,GBP 9.99,GBP 2.62,175.0%,600,1:1 Match,GBP 2.62,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
150,NEEDS VERIFICATION,85,CANDLE PILLAR CANDLE GLITTER GOLD 7X7.5M,Bolsius Rustic Pillar Candle - Shimmer Gold - Pack of 4 - Long Burning Time of 35 Hours - Interior Decoration - Unscented - Includes Natural Vegan Wax - No Palm Oil - 8 x 7 cm,5024418433538,8717847150677,B0B8D1MP1X,GBP 1.81,GBP 12.25,GBP 3.17,153.8%,200,Split candidate (0.08),GBP 4.83,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
151,NEEDS VERIFICATION,70,INDOOR & OUTDOOR DOORMAT 60CM X 90CM,"BLADO Washable Door Mats - Non-Slippery Heavy Duty Doormats - Stylish & Large Rubber Door Mat - Perfect Dust Grabbing Outdoor & Indoor (Black, 60cm x 90cm)",6991934168086,-,B0DCP6NBYX,GBP 4.78,GBP 17.68,GBP 5.58,123.3%,100,1:1 Match,GBP 5.58,Anchor=60cm; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
152,NEEDS VERIFICATION,85,EUROWRAP NAVY OMBRE PERFUME BAG PK6,"TEKFUN LCD Writing Tablet Kids Toys, 10 inch Colorful Doodle Drawing Board Drawing Tablet, Kids Travel Learning Toys Birthday & Christmas Gifts for 3 4 5 6 7 8 Years Old Boys Girls (Blue)",5033601104438,-,B0BW8RZWRF,GBP 3.23,GBP 12.34,GBP 3.09,95.4%,100,Split candidate (0.17),GBP 5.78,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
153,NEEDS VERIFICATION,70,FOIL PLATTERS LARGE PK2,Foil Platters 10pk Large Aluminium Foil Platter Serving Party Trays Oven and Freezer Safe Reusable Serving Platter Set Recyclable Trays Multipack,5056239412201,-,B0D3NZVMNQ,GBP 1.37,GBP 8.49,GBP 1.91,113.2%,700,Split candidate (0.50),GBP 2.60,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
154,NEEDS VERIFICATION,70,CRAFT PAINT 200ML NEON,6 Cans Of Fluorescent Neon Spray Can Paint 200ML Graffiti (Banksey) N0 CFCs,5056170314992,-,B071KL5K2C,GBP 1.21,GBP 10.93,GBP 3.77,242.2%,200,1:1 Match,GBP 3.77,Anchor=200ml,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
155,HIGHLY LIKELY - AUDITED OUT,85,MINKY ANTIBACTERIAL 4 SPONGE SCOURERS HD,Minky Anti-Bacterial Cleaing Pad / 3 Pack / Reusable Microfibre Cloth / Minky Pad / Kitchen Cleaner / Dual Sided Sponge / Non Scratch Sponge / Cleaning Products / Cleaning Supplies / Sponges,5010353320347,5010353322822,B07QQBHTT4,GBP 0.88,GBP 6.75,GBP 1.04,81.6%,700,Pack mismatch 1->3.00 (need 3 units),GBP -0.71,-,-,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
156,NEEDS VERIFICATION,70,EXTRASTAR LED FLASHLIGHT BATTERY TORCH,"EXTRASTAR Head Torch Rechargeable, Headlight with 3 Lights 4 Modes, LED Head Torch Headlamp for Camping, Fishing, Hiking, Jogging, Running, Cycling",8432011550380,-,B09YCKKWHZ,GBP 2.09,GBP 12.99,GBP 4.50,196.6%,100,1:1 Match,GBP 4.50,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
157,NEEDS VERIFICATION,70,EXTRASTAR LED FLASHLIGHT TORCH,"EXTRASTAR Head Torch Rechargeable, Headlight with 3 Lights 4 Modes, LED Head Torch Headlamp for Camping, Fishing, Hiking, Jogging, Running, Cycling",5060577579977,-,B09YCKKWHZ,GBP 2.09,GBP 12.99,GBP 4.50,196.6%,100,1:1 Match,GBP 4.50,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
158,NEEDS VERIFICATION,70,FAST FOOD PLAY SET,"BUYGER Pretend Play Kitchen Food Set Toys for 3 4 5+ Years Olds, Plastic Hamburger Fast Food Kids Kitchen Accessories with Tray for Kids Boys Girls",5012866311256,703363804352,B07KWRZG3W,GBP 1.68,GBP 9.66,GBP 1.95,100.0%,800,1:1 Match,GBP 1.95,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
159,NEEDS VERIFICATION,70,PUZZLE UNICORN KINGDOM 45PCE,"Orchard Toys Unicorn Kingdom Jigsaw Puzzle, 50-Piece Shaped Puzzle, Includes Poster, For Ages 4+, Perfect for Kids who love Unicorns",5015934709320,-,B0CWHHNG9P,GBP 2.35,GBP 10.62,GBP 2.60,103.7%,200,Split candidate (0.02),GBP 4.90,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
160,NEEDS VERIFICATION,70,DOOR MAT COIR WELCOME HEART 40 X 60CM,"Coir Outdoor Door Mat / 60 X 40cm Coconut Coir Welcome Mat / Entrance Doormat with Non-Slip Rubber Backing for Trapping Dirt, Mud, & Moisture (Home, Pack of 1)",5017403154600,-,B0FJ6698SB,GBP 3.29,GBP 11.45,GBP 2.41,73.3%,100,Split candidate (0.00),GBP 5.70,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
161,HIGHLY LIKELY - AUDITED OUT,85,MINKY EVERYDAY SPONGES BRIGHT & GOLD 2PC,Minky Anti-Bacterial Cleaing Pad / 3 Pack / Reusable Microfibre Cloth / Minky Pad / Kitchen Cleaner / Dual Sided Sponge / Non Scratch Sponge / Cleaning Products / Cleaning Supplies / Sponges,5010353327803,5010353322822,B07QQBHTT4,GBP 1.57,GBP 6.75,GBP 0.47,25.0%,700,Pack mismatch 1->1.50 (need 2 units),GBP -0.32,-,-,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
162,NEEDS VERIFICATION,70,PRIMA STAINLESS STEEL PEELER SWIVEL,OXO Steel Swivel Peeler,5038673131511,719812052175,B09BW19KZ9,GBP 1.21,GBP 11.00,GBP 3.86,247.7%,100,1:1 Match,GBP 3.86,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
163,NEEDS VERIFICATION,70,SPECIAL OCCASIONS RAINBOW COLOUR HAIR SPRAY 200ML,6 * 200ml Cans Rainbow Colour Hair Spray - Perfect for fun and Special Occasions -Vibrant Cans of Rainbow Colour Hair Spray,5055319512060,5056558637415,B0CV12HTJ9,GBP 1.37,GBP 12.99,GBP 3.94,233.4%,100,1:1 Match,GBP 3.94,Anchor=200ml; Shared tokens=7,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
164,NEEDS VERIFICATION,70,SECURPLUMB PS STOP ENDS 15MM,John Guest Speedfit 15mm Stop Ends - (Pack of 2X PSE4615W),5019923196283,5065022550105,B0FCXZNPQC,GBP 0.71,GBP 9.80,GBP 3.34,292.7%,100,1:1 Match,GBP 3.34,Anchor=15mm,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
165,NEEDS VERIFICATION,70,CRYSTALS WITH FRAGRANCE 30G,"Herbalshire Menthol Crystals 30g - Natural Decongestant for Inhalation, Sinus & Steam Relief / Pure Eucalyptus Vapour Crystals - Clears Blocked Nose, Cold Relief, Soothes Breathing",5024418538127,735810454254,B079T9RH57,GBP 0.92,GBP 9.99,GBP 3.56,269.3%,100,1:1 Match,GBP 3.56,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
166,NEEDS VERIFICATION,70,DOOR MAT COIR HOME SWEET HOME 40 X 60CM,"Coir Outdoor Door Mat / 60 X 40cm Coconut Coir Welcome Mat / Entrance Doormat with Non-Slip Rubber Backing for Trapping Dirt, Mud, & Moisture (Home Sweet Home, Pack of 1)",5017403154617,-,B0FJ65M42D,GBP 3.29,GBP 11.49,GBP 2.44,74.1%,50,Split candidate (0.00),GBP 5.73,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
167,NEEDS VERIFICATION,70,BABY PIPKIN CLASSIC ROUND BABY BOTTLE 5oz,"Dr Brown's Natural FlowÂ® Anti-Colic Options+â„¢ Wide-Neck Baby Bottle, 5oz/150ml, with Level 1 Teats, 2-Pack, Elephant",5055706660466,072239328477,B0CHWHM4BX,GBP 0.85,GBP 12.10,GBP 3.92,311.4%,100,Pack mismatch 1->2.00 (need 2 units),GBP 3.07,-,EAN mismatch (verify which barcode/variant applies); Verify unit-count/pack on Amazon listing,NEEDS VERIFICATION (count=429)
168,NEEDS VERIFICATION,70,BLUE CANYON FOLDABLE BAMBOO LAUNDRY HAMPER BLACK,Brabantia - Foldable Laundry Basket 40L - Water Resistant Hamper for Wet & Dry Laundry - Storage Basket for Clothes & Linen - Bamboo Rim for Easy Grip - Garment Washing - Home Accessory - Pepper Black,5056295710525,8710755232725,B0CKTKRC86,GBP 9.74,GBP 28.84,GBP 5.76,66.5%,50,1:1 Match,GBP 5.76,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
169,NEEDS VERIFICATION,70,FRAMED ART - TOTTENHAM HOTSPUR F.C KITS 40CM X 40CM,Tottenham Hotspur UEFA Europa League Winners 2025 Signed Shirt A3 Poster Display - Reproduction Reprint / Framed Football Memorabilia / Black Frame 46x34cm / Spurs Collectible Wall Art No184,5060899568178,-,B0FZCN5J5F,GBP 14.78,GBP 29.99,GBP 5.96,46.3%,50,1:1 (1x1 vs 46x34),GBP 5.96,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
170,NEEDS VERIFICATION,70,SPACE GUN ASSORTED,Light Up LED Space Gun Flashing Toy Black,5012866069331,-,B09KS3Q55Q,GBP 4.66,GBP 16.99,GBP 5.19,117.3%,50,1:1 Match,GBP 5.19,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
171,NEEDS VERIFICATION,70,HOBBY UNICORN 32INCH ASSORTED,"Toyrific 99 cm Unicorn Hobby Horse, Unicorn Plush Toy with Sounds Strong Handles and Wheels",5050788080881,-,B0DHW3Z4CJ,GBP 6.79,GBP 18.98,GBP 4.82,77.7%,200,1:1 Match,GBP 4.82,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
172,NEEDS VERIFICATION,70,RSW NON-STICK PIZZA TRAY 33CM,"Samuel Groves Pack of 2 Pizza Pan, Pizza Tray, Large 13 Inch (33cm) Non Stick Coating Oven Round Crisper, Pizza Baking Tray, Pizza Trays for Oven Non Stick Made in England",5015302478421,-,B07DQNZT2D,GBP 1.34,GBP 10.99,GBP 3.70,221.8%,400,Pack mismatch 1->2.00 (need 2 units),GBP 2.36,Anchor=33cm; Shared tokens=5,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
173,NEEDS VERIFICATION,70,FOIL PLATTER LARGE,Foil Platters 10pk Large Aluminium Foil Platter Serving Party Trays Oven and Freezer Safe Reusable Serving Platter Set Recyclable Trays Multipack,5056239412195,-,B0D3NZVMNQ,GBP 1.37,GBP 8.49,GBP 1.91,113.2%,700,1:1 Match,GBP 1.91,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
174,NEEDS VERIFICATION,70,FASHION DOLL IN BOX,"Aomig Fashion Designer Kit for Girls with 4 Mannequins, 600+Pcs Learn Toys Sewing Kit for Kids, Girl Doll Dress Kit, Toys Clothes Making Kit for Teen Girls Kids Birthday Present Age 6-12+",5033849075781,-,B0D4DH28QS,GBP 1.34,GBP 12.74,GBP 3.91,233.9%,50,1:1 Match,GBP 3.91,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
175,NEEDS VERIFICATION,70,PPS MICRO 6 ROUND CONTAINER+LIDS 300ML,"6 Pack 300ml Round Food Containers with Lids Airtihgt, Plastic Reusable Snack Pots with Clip Lock, Leak-proof Small Storage Container Set Stackable for Yoghurt, Fruit, Snack",5030481930331,-,B0DPFV1FXJ,GBP 0.74,GBP 11.99,GBP 4.91,419.9%,200,Pack mismatch 1->6.00 (need 6 units),GBP 1.19,Anchor=300ml; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
176,NEEDS VERIFICATION,70,BLOCK TECH POLICE FORCE 254 PCES,"abeec Block Tech 20 Figures Set - Police, Firefighters, Superheroes, Astronauts & More / Compatible Toy Minifigures for Kidsâ€™ Building Block Playsets",5015934804599,-,B0F677FLKK,GBP 4.45,GBP 14.99,GBP 3.95,92.7%,300,1:1 Match,GBP 3.95,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
177,NEEDS VERIFICATION,70,TIDYZ FREEZER BAGS 100 PCS XLLARGE,"100 TidyZ Large Slide Zip Freezer Bags. Resealable. Zip Lock Food Bags. BPA Free. For Freezing Fruit, Vegetables, Meat. Keeps food Fresh. In a Dispenser Box",5025364005671,5025364007330,B0F24X8FY5,GBP 0.74,GBP 6.49,GBP 0.61,52.0%,900,Split candidate (0.01),GBP 1.34,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
